City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Country,Date
222,Wajir,1.7471,40.0573,83.95,30,6,7.92,clear sky,KE,2021-12-11 20:25:07
223,Turukhansk,65.8167,87.9833,-9.47,89,77,8.01,broken clouds,RU,2021-12-11 20:21:17
224,Opuwo,-18.0607,13.84,77.31,50,83,8.75,broken clouds,NA,2021-12-11 20:25:08
225,Wahiawa,21.5028,-158.0236,79.12,73,20,13.8,few clouds,US,2021-12-11 20:25:08
226,Nantucket,41.2835,-70.0995,61.14,91,90,26.46,mist,US,2021-12-11 20:25:09
227,Bangassou,4.7413,22.8184,80.85,37,100,1.3,overcast clouds,CF,2021-12-11 20:25:10
228,Sao Goncalo Do Amarante,-3.6072,-38.9683,84.24,61,92,10.85,overcast clouds,BR,2021-12-11 20:25:10
229,Youhao,47.8667,128.8333,18.14,96,100,2.46,light snow,CN,2021-12-11 20:25:10
230,Abu Dhabi,24.4667,54.3667,73.96,66,20,5.75,few clouds,AE,2021-12-11 20:25:11
231,Port Macquarie,-31.4333,152.9167,62.56,77,74,11.81,broken clouds,AU,2021-12-11 20:21:08
232,Taoudenni,22.6783,-3.9836,70.92,16,98,10.22,overcast clouds,ML,2021-12-11 20:25:11
233,Pacific Grove,36.6177,-121.9166,59.76,59,1,3.0,clear sky,US,2021-12-11 20:24:49
234,Valparaiso,-33.0393,-71.6273,68.23,65,40,8.05,scattered clouds,CL,2021-12-11 20:20:59
235,Nabire,-3.3667,135.4833,76.75,91,100,3.58,overcast clouds,ID,2021-12-11 20:25:11
236,Saldanha,-33.0117,17.9442,64.45,82,24,4.18,few clouds,ZA,2021-12-11 20:25:12
237,Dhrol,22.5667,70.4167,70.43,48,0,9.01,clear sky,IN,2021-12-11 20:25:12
238,Jining,35.405,116.5814,47.07,75,100,9.75,overcast clouds,CN,2021-12-11 20:25:13
239,Havelock,34.8791,-76.9013,77.05,90,100,11.99,overcast clouds,US,2021-12-11 20:25:13
240,Nouadhibou,20.931,-17.0347,69.78,56,0,8.05,dust,MR,2021-12-11 20:25:13
241,Alyangula,-13.8483,136.4192,69.67,100,14,0.0,few clouds,AU,2021-12-11 20:25:14
242,Manokwari,-0.8667,134.0833,78.96,81,100,5.08,overcast clouds,ID,2021-12-11 20:25:14
243,Dalbandin,28.8947,64.4101,53.51,17,3,5.17,clear sky,PK,2021-12-11 20:25:14
244,Awjilah,29.1081,21.2869,59.5,49,100,8.16,overcast clouds,LY,2021-12-11 20:25:15
245,Fengzhen,40.4394,113.1536,15.1,38,0,7.94,clear sky,CN,2021-12-11 20:25:15
246,La Ronge,55.1001,-105.2842,16.05,86,90,6.91,overcast clouds,CA,2021-12-11 20:25:15
247,Louisville,38.2542,-85.7594,43.75,63,90,7.0,overcast clouds,US,2021-12-11 20:22:17
248,Slave Lake,55.2834,-114.769,33.78,47,90,14.97,overcast clouds,CA,2021-12-11 20:25:16
249,Krasnotorka,48.682,37.5327,34.32,82,99,8.77,overcast clouds,UA,2021-12-11 20:25:16
250,Dzhebariki-Khaya,62.2167,135.8,-33.56,100,72,0.58,broken clouds,RU,2021-12-11 20:25:16
251,Kanniyakumari,8.0833,77.5667,78.69,83,6,19.77,clear sky,IN,2021-12-11 20:25:17
252,Hithadhoo,-0.6,73.0833,80.83,79,29,7.63,scattered clouds,MV,2021-12-11 20:25:17
253,Betafo,-19.8333,46.85,62.37,87,100,4.94,overcast clouds,MG,2021-12-11 20:25:18
254,Piacabucu,-10.4056,-36.4344,81.5,69,6,14.47,clear sky,BR,2021-12-11 20:25:18
255,Ahipara,-35.1667,173.1667,67.69,96,100,4.5,moderate rain,NZ,2021-12-11 20:25:19
256,Dicabisagan,17.0818,122.4157,75.85,87,100,8.88,overcast clouds,PH,2021-12-11 20:25:19
257,Andenes,69.3143,16.1194,28.38,80,100,8.05,overcast clouds,NO,2021-12-11 20:25:19
258,Havre-Saint-Pierre,50.2334,-63.5986,25.39,79,90,8.05,overcast clouds,CA,2021-12-11 20:25:20
259,Ribeira Brava,32.65,-17.0667,66.0,78,45,6.58,scattered clouds,PT,2021-12-11 20:25:20
260,Salalah,17.0151,54.0924,78.89,31,0,10.36,clear sky,OM,2021-12-11 20:25:20
261,Whitianga,-36.8333,175.7,71.02,91,100,5.95,light rain,NZ,2021-12-11 20:25:21
262,Belaya Gora,68.5333,146.4167,-46.12,93,100,0.78,overcast clouds,RU,2021-12-11 20:25:21
263,Puerto Madero,14.7208,-92.4215,89.8,62,40,9.22,scattered clouds,MX,2021-12-11 20:25:21
264,Srostki,52.4189,85.7022,8.24,89,100,4.45,overcast clouds,RU,2021-12-11 20:26:22
265,Khatanga,71.9667,102.5,-43.1,100,60,4.74,broken clouds,RU,2021-12-11 20:24:16
266,Turbat,26.0023,63.044,64.2,51,52,2.26,broken clouds,PK,2021-12-11 20:26:22
267,Gravdal,68.1214,13.5031,35.78,70,100,8.41,light rain,NO,2021-12-11 20:26:22
268,Nemuro,43.3236,145.575,41.58,74,9,14.09,clear sky,JP,2021-12-11 20:26:23
269,Nioki,-2.7167,17.6833,73.36,94,99,2.06,light rain,CD,2021-12-11 20:26:23
270,Mudkhed,19.1667,77.5167,67.62,52,31,6.02,scattered clouds,IN,2021-12-11 20:26:23
271,Bama,11.5221,13.6856,74.3,23,7,8.59,clear sky,NG,2021-12-11 20:26:24
272,Constitucion,-35.3333,-72.4167,61.95,72,30,9.42,scattered clouds,CL,2021-12-11 20:26:24
273,Mpika,-11.8343,31.4529,69.57,42,47,8.34,scattered clouds,ZM,2021-12-11 20:26:24
274,Seoul,37.5683,126.9778,38.71,100,67,4.61,fog,KR,2021-12-11 20:21:34
275,Riosucio,5.4216,-75.7032,68.29,92,99,3.67,moderate rain,CO,2021-12-11 20:26:25
276,Kokstad,-30.5472,29.4241,65.46,75,100,3.98,overcast clouds,ZA,2021-12-11 20:26:25
277,Meulaboh,4.1363,96.1285,76.35,91,78,2.84,broken clouds,ID,2021-12-11 20:26:25
